,Singapore,Kenya,"Congo, Dem. Rep.",Slovenia,Saudi Arabia,Japan,Portugal,Estonia,Nepal,Djibouti,Cyprus,Upper-middle-income Countries,Canada,Peru,United Kingdom,"Gambia, The",Gabon,Qatar,OECD members,Azerbaijan
0,15.809772335122096,616.5811210697617,904.8769695337529,1.8599732158967173,77.18888845971377,7.439892863586869,3.7199464317934345,0.9299866079483586,587.7515362233627,470.57322362186943,0.9299866079483586,239.00655824272815,3.7199464317934345,164.60762960685946,3.7199464317934345,411.98406732112284,145.07791083994394,77.18888845971377,30.68955806229583,0.0
1,133.88757043279182,248.40417322849888,325.888043776838,195.41887939764933,251.82257928210208,139.5849138554638,210.80170663886372,193.13994202858055,284.2974367913324,346.96821444072435,225.0450651955437,180.03605215643498,184.59392689457255,211.94117532339814,156.67694412347979,272.90274994598843,270.62381257691965,173.19924004922856,169.21109965335816,275.1816873150572
2,72.39548208006974,409.069617190297,444.91592385130235,99.80736364436798,160.95694559549483,46.389338031889345,99.10449488630906,82.93851345095368,373.92617928735046,336.6741351102272,62.55531946724472,238.975377740036,46.389338031889345,200.3175960467949,106.83605122495727,395.71511078717725,364.0860166745254,165.87702690190736,96.29301985407334,309.9651223039879
3,7.23157865624286,151.53444366036175,144.30286500411887,19.72248724429871,112.74688541324093,6.245454294027923,12.81961670879416,13.148324829532472,141.6732000382124,275.128697057967,7.560286776981171,49.63492623148508,2.6296649659064943,39.44497448859742,8.875119259934419,189.9932937867442,116.03396662062406,39.116266367859104,21.037319727251955,159.0947304373429
4,141.03291835631552,152.37604851902185,226.1063945766131,137.62997930750362,278.28479332506225,158.4257179391319,98.68523241554519,93.39177167294889,181.4900826033015,283.9563584064154,111.16267559452216,127.42116216106793,74.10845039634812,127.79926649982478,105.11300617441212,255.59853299964956,199.63909086363162,187.91785636216844,126.66495348355416,202.28582123492978
5,150.7306118303964,355.1999635307602,372.8944266586763,82.57416126360846,293.59701782616344,94.37047001555253,137.62360210601412,108.78818071237306,257.5527410841121,281.80070907421936,199.88189829683,220.19776336962258,83.22951174982758,154.00736426149197,40.63173014558512,266.72764789117974,256.89739059789304,300.80587317457366,106.1667787674966,304.73797609188836
6,132.2254464663092,199.22558880326451,212.09316580837515,109.15254976749014,157.96060047653046,130.45060825870772,99.83464917758245,106.93400200798831,214.31171356787698,343.874902722784,122.46383632450114,162.8414055474345,97.61610141808062,127.78835094730553,137.99367064101398,264.007183380718,85.19223396487035,171.27188703354145,126.90093184350481,177.48382076014656
7,121.65599900534023,141.12095884619467,186.9447184715395,65.69423946288373,145.17615881303934,63.66663947946139,100.16343918106345,63.66663947946139,137.47127887603446,206.40967831239394,104.21863914790814,129.76639893902959,73.80463939657308,154.09759874009762,88.40335927721391,136.25471888598108,180.05087852790354,120.8449590119713,95.70271921753432,162.61351867047145
8,113.73582775879471,424.4868550662966,425.4386193153242,265.5422254786923,374.51923199234915,30.93233809339605,282.1980998366747,111.83229926073957,425.914501439838,374.04334986783533,129.91581999226344,311.70279155652946,64.71996893387481,372.615703494294,125.15699874712557,424.01097294178277,339.303954778329,375.4709962413767,131.34346636580477,418.3003874476174
9,140.65257819480723,227.92730815502003,222.0830182023272,0.0,93.50863924308513,75.97576938500667,125.4574243178059,40.130791008490704,137.53562355337104,216.6283475798139,64.67680880980056,286.3702076819482,54.936325555312514,277.7985824179987,109.87265111062503,120.39237302547211,171.82212460916895,93.50863924308513,142.21105551552532,98.96330986559843
10,25.324174901979312,198.79477298053763,250.28726194789553,81.8814988497331,204.70374712433278,68.37527223534414,44.739375660163454,33.76556653597242,273.50108894137657,167.1395543530635,93.27737755562381,127.46501367329587,39.674540679767595,128.73122241839485,51.914558549057595,149.8347015033776,197.52856423543864,291.6500809544617,65.42078516344657,127.88708325499553
11,282.38768062863704,26.60173803023392,14.324012785510574,244.1903132006088,173.25234511998502,218.95276686423307,184.8479745177793,237.36935473131805,10.9135335508652,37.51527158109912,208.03923331336784,69.57377638676564,264.65318860848106,56.61395529511323,229.18420456816918,19.098683714014097,63.43491376440397,161.65671572219077,193.71522052785727,60.0244345297586
12,183.82621612562588,6.300495310757338,2.2237042273261194,159.7360869962596,194.94473726225647,144.17015740497675,86.35384749449764,200.13338045935075,4.076791083431219,43.36223243285932,130.45731466979902,39.65605872064913,266.10327253669226,23.719511758145273,180.1200424134157,5.188643197094279,52.2570493421638,370.6173712210199,166.40719967823793,71.15853527443582
13,315.3125534811431,149.4773285733505,119.5818628586804,258.9060143968599,181.0649904605491,246.49657579831762,337.87516911485636,120.70999364036605,221.1136332103902,243.67624884410347,291.05774167490137,235.77933337230377,208.70419461184787,163.01489795357844,155.68204787262167,183.3212520239204,188.3978405415059,130.2991052846942,233.52307180893246,231.830875636404
14,565.431857632602,371.06465657139506,275.27603595271415,158.09772335122096,451.9734914629023,325.4953127819255,315.26546009449356,36.269477709985985,297.59571454347474,571.0117772802921,226.9167323393995,434.3037459118835,366.41472353165324,414.77402714496793,133.91807154456365,139.49799119225378,161.81766978301437,253.8863439699019,325.4953127819255,365.4847369237049
15,131.57093477559752,515.3194945377569,734.6043858304193,196.13815276732595,377.65731278180766,154.7176733009341,230.2491358572956,153.49942390486376,534.8114848748825,511.66474634954585,222.93963948087358,467.8077680910134,175.42791303413003,517.7559933298976,192.48340457911488,588.4144583019777,648.1086787094248,233.9038840455067,292.37985505688334,343.5463296918379
16,334.8088028876642,255.66270951453058,303.5669239245852,203.5929112427321,212.9654749316558,178.07871008955084,190.57546167478247,258.7868974108385,282.7390046158658,280.1355147022758,283.2597025985838,263.99387723801834,145.79543516103575,233.2726962576572,290.0287763739176,291.0701723393535,317.10507147525277,339.49508473212614,178.07871008955084,169.22684438334508
